year,total,name
1970,86397,British Columbia
1971,82717,British Columbia
1972,101535,British Columbia
1973,116826,British Columbia
1974,96736,British Columbia
1975,91270,British Columbia
1976,120218,British Columbia
1977,142066,British Columbia
1978,137552,British Columbia
1979,140113,British Columbia
1980,141737,British Columbia
1981,119033,British Columbia
1982,121545,British Columbia
1983,155236,British Columbia
1984,163008,British Columbia
1985,186143,British Columbia
1986,199670,British Columbia
1987,231726,British Columbia
1988,210398,British Columbia
1989,188425,British Columbia
1990,182886,British Columbia
1991,173890,British Columbia
1992,186448,British Columbia
1993,171976,British Columbia
1994,161601,British Columbia
1995,168747,British Columbia
1996,176299,British Columbia
1997,171427,British Columbia
1998,168828,British Columbia
1999,204438,British Columbia
2000,199346,British Columbia
2001,179479,British Columbia
2002,204467,British Columbia
2003,228916,British Columbia
2004,254983,British Columbia
2005,256167,British Columbia
2006,235405,British Columbia
2007,233214,British Columbia
2008,194742,British Columbia
2009,152050,British Columbia
2010,201862,British Columbia
2011,229434,British Columbia
2012,214439,British Columbia
2013,236544,British Columbia
2014,214128,British Columbia
2015,241213,British Columbia
2016,233946,British Columbia
2017,214719,British Columbia
2018,144110,British Columbia
2019,21639,British Columbia
1970,0,Boreal Mountains and Plateaus
1971,0,Boreal Mountains and Plateaus
1972,12,Boreal Mountains and Plateaus
1973,0,Boreal Mountains and Plateaus
1974,135,Boreal Mountains and Plateaus
1975,149,Boreal Mountains and Plateaus
1976,121,Boreal Mountains and Plateaus
1977,115,Boreal Mountains and Plateaus
1978,270,Boreal Mountains and Plateaus
1979,229,Boreal Mountains and Plateaus
1980,86,Boreal Mountains and Plateaus
1981,523,Boreal Mountains and Plateaus
1982,345,Boreal Mountains and Plateaus
1983,123,Boreal Mountains and Plateaus
1984,583,Boreal Mountains and Plateaus
1985,1405,Boreal Mountains and Plateaus
1986,278,Boreal Mountains and Plateaus
1987,1022,Boreal Mountains and Plateaus
1988,457,Boreal Mountains and Plateaus
1989,1070,Boreal Mountains and Plateaus
1990,2379,Boreal Mountains and Plateaus
1991,1596,Boreal Mountains and Plateaus
1992,1754,Boreal Mountains and Plateaus
1993,1788,Boreal Mountains and Plateaus
1994,1690,Boreal Mountains and Plateaus
1995,1895,Boreal Mountains and Plateaus
1996,1602,Boreal Mountains and Plateaus
1997,1148,Boreal Mountains and Plateaus
1998,1601,Boreal Mountains and Plateaus
1999,1036,Boreal Mountains and Plateaus
2000,1165,Boreal Mountains and Plateaus
2001,1107,Boreal Mountains and Plateaus
2002,1063,Boreal Mountains and Plateaus
2003,477,Boreal Mountains and Plateaus
2004,1101,Boreal Mountains and Plateaus
2005,261,Boreal Mountains and Plateaus
2006,452,Boreal Mountains and Plateaus
2007,506,Boreal Mountains and Plateaus
2008,502,Boreal Mountains and Plateaus
2009,0,Boreal Mountains and Plateaus
2010,0,Boreal Mountains and Plateaus
2011,11,Boreal Mountains and Plateaus
2012,19,Boreal Mountains and Plateaus
2013,159,Boreal Mountains and Plateaus
2014,0,Boreal Mountains and Plateaus
2015,0,Boreal Mountains and Plateaus
2016,243,Boreal Mountains and Plateaus
2017,30,Boreal Mountains and Plateaus
2018,563,Boreal Mountains and Plateaus
2019,124,Boreal Mountains and Plateaus
1970,41,Boundary Ranges
1971,0,Boundary Ranges
1972,264,Boundary Ranges
1973,0,Boundary Ranges
1974,107,Boundary Ranges
1975,22,Boundary Ranges
1976,16,Boundary Ranges
1977,0,Boundary Ranges
1978,0,Boundary Ranges
1979,57,Boundary Ranges
1980,0,Boundary Ranges
1981,0,Boundary Ranges
1982,0,Boundary Ranges
1983,0,Boundary Ranges
1984,9,Boundary Ranges
1985,0,Boundary Ranges
1986,263,Boundary Ranges
1987,53,Boundary Ranges
1988,0,Boundary Ranges
1989,0,Boundary Ranges
1990,0,Boundary Ranges
1991,27,Boundary Ranges
1992,16,Boundary Ranges
1993,0,Boundary Ranges
1994,0,Boundary Ranges
1995,0,Boundary Ranges
1996,0,Boundary Ranges
1997,0,Boundary Ranges
1998,0,Boundary Ranges
1999,0,Boundary Ranges
2000,0,Boundary Ranges
2001,0,Boundary Ranges
2002,0,Boundary Ranges
2003,0,Boundary Ranges
2004,0,Boundary Ranges
2005,0,Boundary Ranges
2006,0,Boundary Ranges
2007,0,Boundary Ranges
2008,0,Boundary Ranges
2009,0,Boundary Ranges
2010,0,Boundary Ranges
2011,0,Boundary Ranges
2012,0,Boundary Ranges
2013,0,Boundary Ranges
2014,0,Boundary Ranges
2015,0,Boundary Ranges
2016,0,Boundary Ranges
2017,0,Boundary Ranges
2018,0,Boundary Ranges
2019,0,Boundary Ranges
1970,542,Central Alberta Upland
1971,633,Central Alberta Upland
1972,852,Central Alberta Upland
1973,2527,Central Alberta Upland
1974,1944,Central Alberta Upland
1975,1371,Central Alberta Upland
1976,2719,Central Alberta Upland
1977,2452,Central Alberta Upland
1978,2368,Central Alberta Upland
1979,1453,Central Alberta Upland
1980,3893,Central Alberta Upland
1981,1694,Central Alberta Upland
1982,2898,Central Alberta Upland
1983,2113,Central Alberta Upland
1984,3151,Central Alberta Upland
1985,4076,Central Alberta Upland
1986,3443,Central Alberta Upland
1987,4246,Central Alberta Upland
1988,3351,Central Alberta Upland
1989,3181,Central Alberta Upland
1990,2178,Central Alberta Upland
1991,2539,Central Alberta Upland
1992,2759,Central Alberta Upland
1993,1904,Central Alberta Upland
1994,2282,Central Alberta Upland
1995,1488,Central Alberta Upland
1996,1715,Central Alberta Upland
1997,1645,Central Alberta Upland
1998,1464,Central Alberta Upland
1999,1846,Central Alberta Upland
2000,987,Central Alberta Upland
2001,1599,Central Alberta Upland
2002,1563,Central Alberta Upland
2003,1370,Central Alberta Upland
2004,1281,Central Alberta Upland
2005,4447,Central Alberta Upland
2006,3495,Central Alberta Upland
2007,5999,Central Alberta Upland
2008,4919,Central Alberta Upland
2009,3171,Central Alberta Upland
2010,4149,Central Alberta Upland
2011,6676,Central Alberta Upland
2012,6051,Central Alberta Upland
2013,5177,Central Alberta Upland
2014,5059,Central Alberta Upland
2015,6011,Central Alberta Upland
2016,5251,Central Alberta Upland
2017,6588,Central Alberta Upland
2018,5406,Central Alberta Upland
2019,1007,Central Alberta Upland
1970,2284,Central Canadian Rocky Mountains
1971,1798,Central Canadian Rocky Mountains
1972,3037,Central Canadian Rocky Mountains
1973,3349,Central Canadian Rocky Mountains
1974,2148,Central Canadian Rocky Mountains
1975,2409,Central Canadian Rocky Mountains
1976,2841,Central Canadian Rocky Mountains
1977,3289,Central Canadian Rocky Mountains
1978,5641,Central Canadian Rocky Mountains
1979,4156,Central Canadian Rocky Mountains
1980,4307,Central Canadian Rocky Mountains
1981,2190,Central Canadian Rocky Mountains
1982,2038,Central Canadian Rocky Mountains
1983,2136,Central Canadian Rocky Mountains
1984,4274,Central Canadian Rocky Mountains
1985,4175,Central Canadian Rocky Mountains
1986,6766,Central Canadian Rocky Mountains
1987,6556,Central Canadian Rocky Mountains
1988,5544,Central Canadian Rocky Mountains
1989,4735,Central Canadian Rocky Mountains
1990,7753,Central Canadian Rocky Mountains
1991,4994,Central Canadian Rocky Mountains
1992,6084,Central Canadian Rocky Mountains
1993,5287,Central Canadian Rocky Mountains
1994,5025,Central Canadian Rocky Mountains
1995,5815,Central Canadian Rocky Mountains
1996,6095,Central Canadian Rocky Mountains
1997,6113,Central Canadian Rocky Mountains
1998,8207,Central Canadian Rocky Mountains
1999,8074,Central Canadian Rocky Mountains
2000,6139,Central Canadian Rocky Mountains
2001,4499,Central Canadian Rocky Mountains
2002,6051,Central Canadian Rocky Mountains
2003,5971,Central Canadian Rocky Mountains
2004,5292,Central Canadian Rocky Mountains
2005,3780,Central Canadian Rocky Mountains
2006,4775,Central Canadian Rocky Mountains
2007,3577,Central Canadian Rocky Mountains
2008,3045,Central Canadian Rocky Mountains
2009,2512,Central Canadian Rocky Mountains
2010,3653,Central Canadian Rocky Mountains
2011,4741,Central Canadian Rocky Mountains
2012,5290,Central Canadian Rocky Mountains
2013,4787,Central Canadian Rocky Mountains
2014,5170,Central Canadian Rocky Mountains
2015,5864,Central Canadian Rocky Mountains
2016,5835,Central Canadian Rocky Mountains
2017,6903,Central Canadian Rocky Mountains
2018,6053,Central Canadian Rocky Mountains
2019,1745,Central Canadian Rocky Mountains
1970,0,Chilcotin Ranges
1971,66,Chilcotin Ranges
1972,156,Chilcotin Ranges
1973,118,Chilcotin Ranges
1974,89,Chilcotin Ranges
1975,0,Chilcotin Ranges
1976,0,Chilcotin Ranges
1977,0,Chilcotin Ranges
1978,0,Chilcotin Ranges
1979,0,Chilcotin Ranges
1980,314,Chilcotin Ranges
1981,0,Chilcotin Ranges
1982,0,Chilcotin Ranges
1983,13,Chilcotin Ranges
1984,570,Chilcotin Ranges
1985,577,Chilcotin Ranges
1986,656,Chilcotin Ranges
1987,715,Chilcotin Ranges
1988,2138,Chilcotin Ranges
1989,1432,Chilcotin Ranges
1990,745,Chilcotin Ranges
1991,1316,Chilcotin Ranges
1992,646,Chilcotin Ranges
1993,1148,Chilcotin Ranges
1994,650,Chilcotin Ranges
1995,688,Chilcotin Ranges
1996,1849,Chilcotin Ranges
1997,1299,Chilcotin Ranges
1998,1229,Chilcotin Ranges
1999,1697,Chilcotin Ranges
2000,1030,Chilcotin Ranges
2001,1419,Chilcotin Ranges
2002,777,Chilcotin Ranges
2003,524,Chilcotin Ranges
2004,859,Chilcotin Ranges
2005,1074,Chilcotin Ranges
2006,389,Chilcotin Ranges
2007,688,Chilcotin Ranges
2008,1288,Chilcotin Ranges
2009,0,Chilcotin Ranges
2010,701,Chilcotin Ranges
2011,1241,Chilcotin Ranges
2012,1191,Chilcotin Ranges
2013,1965,Chilcotin Ranges
2014,2303,Chilcotin Ranges
2015,3353,Chilcotin Ranges
2016,3123,Chilcotin Ranges
2017,2088,Chilcotin Ranges
2018,554,Chilcotin Ranges
2019,50,Chilcotin Ranges
1970,1614,Coastal Gap
1971,814,Coastal Gap
1972,405,Coastal Gap
1973,1203,Coastal Gap
1974,686,Coastal Gap
1975,387,Coastal Gap
1976,673,Coastal Gap
1977,609,Coastal Gap
1978,1286,Coastal Gap
1979,1037,Coastal Gap
1980,1830,Coastal Gap
1981,1944,Coastal Gap
1982,1115,Coastal Gap
1983,1511,Coastal Gap
1984,2250,Coastal Gap
1985,2223,Coastal Gap
1986,2602,Coastal Gap
1987,3986,Coastal Gap
1988,4307,Coastal Gap
1989,3493,Coastal Gap
1990,2960,Coastal Gap
1991,2270,Coastal Gap
1992,3338,Coastal Gap
1993,2835,Coastal Gap
1994,2685,Coastal Gap
1995,3426,Coastal Gap
1996,2665,Coastal Gap
1997,3302,Coastal Gap
1998,2228,Coastal Gap
1999,2968,Coastal Gap
2000,3046,Coastal Gap
2001,2475,Coastal Gap
2002,2995,Coastal Gap
2003,2633,Coastal Gap
2004,3450,Coastal Gap
2005,2822,Coastal Gap
2006,3008,Coastal Gap
2007,3494,Coastal Gap
2008,2079,Coastal Gap
2009,778,Coastal Gap
2010,1168,Coastal Gap
2011,1058,Coastal Gap
2012,1126,Coastal Gap
2013,1830,Coastal Gap
2014,1657,Coastal Gap
2015,2730,Coastal Gap
2016,2960,Coastal Gap
2017,1259,Coastal Gap
2018,874,Coastal Gap
2019,40,Coastal Gap
1970,10781,Columbia Highlands
1971,12400,Columbia Highlands
1972,14593,Columbia Highlands
1973,15770,Columbia Highlands
1974,12020,Columbia Highlands
1975,14239,Columbia Highlands
1976,16245,Columbia Highlands
1977,22384,Columbia Highlands
1978,16406,Columbia Highlands
1979,16043,Columbia Highlands
1980,17055,Columbia Highlands
1981,19932,Columbia Highlands
1982,17707,Columbia Highlands
1983,24377,Columbia Highlands
1984,23556,Columbia Highlands
1985,23348,Columbia Highlands
1986,19108,Columbia Highlands
1987,22197,Columbia Highlands
1988,16764,Columbia Highlands
1989,15093,Columbia Highlands
1990,13714,Columbia Highlands
1991,12810,Columbia Highlands
1992,14384,Columbia Highlands
1993,11672,Columbia Highlands
1994,13029,Columbia Highlands
1995,12064,Columbia Highlands
1996,13349,Columbia Highlands
1997,10967,Columbia Highlands
1998,11783,Columbia Highlands
1999,8925,Columbia Highlands
2000,10004,Columbia Highlands
2001,8705,Columbia Highlands
2002,9962,Columbia Highlands
2003,9818,Columbia Highlands
2004,12980,Columbia Highlands
2005,14411,Columbia Highlands
2006,12647,Columbia Highlands
2007,11914,Columbia Highlands
2008,11822,Columbia Highlands
2009,10780,Columbia Highlands
2010,10410,Columbia Highlands
2011,12855,Columbia Highlands
2012,14821,Columbia Highlands
2013,15383,Columbia Highlands
2014,14694,Columbia Highlands
2015,16803,Columbia Highlands
2016,15428,Columbia Highlands
2017,18083,Columbia Highlands
2018,11877,Columbia Highlands
2019,1662,Columbia Highlands
1970,0,Eastern Continental Ranges
1971,0,Eastern Continental Ranges
1972,0,Eastern Continental Ranges
1973,0,Eastern Continental Ranges
1974,0,Eastern Continental Ranges
1975,0,Eastern Continental Ranges
1976,0,Eastern Continental Ranges
1977,0,Eastern Continental Ranges
1978,0,Eastern Continental Ranges
1979,0,Eastern Continental Ranges
1980,0,Eastern Continental Ranges
1981,0,Eastern Continental Ranges
1982,0,Eastern Continental Ranges
1983,0,Eastern Continental Ranges
1984,0,Eastern Continental Ranges
1985,0,Eastern Continental Ranges
1986,0,Eastern Continental Ranges
1987,0,Eastern Continental Ranges
1988,0,Eastern Continental Ranges
1989,0,Eastern Continental Ranges
1990,0,Eastern Continental Ranges
1991,279,Eastern Continental Ranges
1992,0,Eastern Continental Ranges
1993,138,Eastern Continental Ranges
1994,0,Eastern Continental Ranges
1995,122,Eastern Continental Ranges
1996,94,Eastern Continental Ranges
1997,0,Eastern Continental Ranges
1998,0,Eastern Continental Ranges
1999,0,Eastern Continental Ranges
2000,0,Eastern Continental Ranges
2001,124,Eastern Continental Ranges
2002,116,Eastern Continental Ranges
2003,35,Eastern Continental Ranges
2004,0,Eastern Continental Ranges
2005,113,Eastern Continental Ranges
2006,0,Eastern Continental Ranges
2007,0,Eastern Continental Ranges
2008,0,Eastern Continental Ranges
2009,0,Eastern Continental Ranges
2010,3,Eastern Continental Ranges
2011,6,Eastern Continental Ranges
2012,0,Eastern Continental Ranges
2013,0,Eastern Continental Ranges
2014,0,Eastern Continental Ranges
2015,0,Eastern Continental Ranges
2016,251,Eastern Continental Ranges
2017,0,Eastern Continental Ranges
2018,0,Eastern Continental Ranges
2019,0,Eastern Continental Ranges
1970,2557,Eastern Hazelton Mountains
1971,1675,Eastern Hazelton Mountains
1972,2359,Eastern Hazelton Mountains
1973,2347,Eastern Hazelton Mountains
1974,1114,Eastern Hazelton Mountains
1975,253,Eastern Hazelton Mountains
1976,703,Eastern Hazelton Mountains
1977,899,Eastern Hazelton Mountains
1978,2055,Eastern Hazelton Mountains
1979,2913,Eastern Hazelton Mountains
1980,2559,Eastern Hazelton Mountains
1981,2426,Eastern Hazelton Mountains
1982,2275,Eastern Hazelton Mountains
1983,1379,Eastern Hazelton Mountains
1984,1822,Eastern Hazelton Mountains
1985,2593,Eastern Hazelton Mountains
1986,1478,Eastern Hazelton Mountains
1987,2735,Eastern Hazelton Mountains
1988,3411,Eastern Hazelton Mountains
1989,2831,Eastern Hazelton Mountains
1990,3872,Eastern Hazelton Mountains
1991,3164,Eastern Hazelton Mountains
1992,2940,Eastern Hazelton Mountains
1993,2339,Eastern Hazelton Mountains
1994,2033,Eastern Hazelton Mountains
1995,2624,Eastern Hazelton Mountains
1996,3449,Eastern Hazelton Mountains
1997,3210,Eastern Hazelton Mountains
1998,3554,Eastern Hazelton Mountains
1999,3619,Eastern Hazelton Mountains
2000,3200,Eastern Hazelton Mountains
2001,2265,Eastern Hazelton Mountains
2002,2319,Eastern Hazelton Mountains
2003,3392,Eastern Hazelton Mountains
2004,2295,Eastern Hazelton Mountains
2005,4078,Eastern Hazelton Mountains
2006,2674,Eastern Hazelton Mountains
2007,2765,Eastern Hazelton Mountains
2008,4867,Eastern Hazelton Mountains
2009,4724,Eastern Hazelton Mountains
2010,4980,Eastern Hazelton Mountains
2011,4307,Eastern Hazelton Mountains
2012,5541,Eastern Hazelton Mountains
2013,4647,Eastern Hazelton Mountains
2014,4122,Eastern Hazelton Mountains
2015,3791,Eastern Hazelton Mountains
2016,4299,Eastern Hazelton Mountains
2017,4057,Eastern Hazelton Mountains
2018,2319,Eastern Hazelton Mountains
2019,694,Eastern Hazelton Mountains
1970,1015,Eastern Vancouver Island
1971,1136,Eastern Vancouver Island
1972,928,Eastern Vancouver Island
1973,1157,Eastern Vancouver Island
1974,1450,Eastern Vancouver Island
1975,813,Eastern Vancouver Island
1976,1269,Eastern Vancouver Island
1977,1171,Eastern Vancouver Island
1978,1290,Eastern Vancouver Island
1979,1178,Eastern Vancouver Island
1980,1108,Eastern Vancouver Island
1981,1271,Eastern Vancouver Island
1982,864,Eastern Vancouver Island
1983,964,Eastern Vancouver Island
1984,1800,Eastern Vancouver Island
1985,1146,Eastern Vancouver Island
1986,1727,Eastern Vancouver Island
1987,1744,Eastern Vancouver Island
1988,2412,Eastern Vancouver Island
1989,1561,Eastern Vancouver Island
1990,1623,Eastern Vancouver Island
1991,1159,Eastern Vancouver Island
1992,1956,Eastern Vancouver Island
1993,1122,Eastern Vancouver Island
1994,1461,Eastern Vancouver Island
1995,1344,Eastern Vancouver Island
1996,1408,Eastern Vancouver Island
1997,1217,Eastern Vancouver Island
1998,1089,Eastern Vancouver Island
1999,2508,Eastern Vancouver Island
2000,2109,Eastern Vancouver Island
2001,1961,Eastern Vancouver Island
2002,2320,Eastern Vancouver Island
2003,2764,Eastern Vancouver Island
2004,3976,Eastern Vancouver Island
2005,3716,Eastern Vancouver Island
2006,2682,Eastern Vancouver Island
2007,1748,Eastern Vancouver Island
2008,1417,Eastern Vancouver Island
2009,1687,Eastern Vancouver Island
2010,1985,Eastern Vancouver Island
2011,2896,Eastern Vancouver Island
2012,3172,Eastern Vancouver Island
2013,2740,Eastern Vancouver Island
2014,3309,Eastern Vancouver Island
2015,10056,Eastern Vancouver Island
2016,8474,Eastern Vancouver Island
2017,12843,Eastern Vancouver Island
2018,819,Eastern Vancouver Island
2019,1,Eastern Vancouver Island
1970,15119,Fraser Basin
1971,8401,Fraser Basin
1972,12664,Fraser Basin
1973,10933,Fraser Basin
1974,11605,Fraser Basin
1975,13386,Fraser Basin
1976,15321,Fraser Basin
1977,17229,Fraser Basin
1978,12956,Fraser Basin
1979,19895,Fraser Basin
1980,14079,Fraser Basin
1981,10484,Fraser Basin
1982,12882,Fraser Basin
1983,19907,Fraser Basin
1984,17717,Fraser Basin
1985,22476,Fraser Basin
1986,18661,Fraser Basin
1987,26779,Fraser Basin
1988,23931,Fraser Basin
1989,22324,Fraser Basin
1990,23703,Fraser Basin
1991,21657,Fraser Basin
1992,25151,Fraser Basin
1993,22455,Fraser Basin
1994,20433,Fraser Basin
1995,17075,Fraser Basin
1996,22113,Fraser Basin
1997,17469,Fraser Basin
1998,18610,Fraser Basin
1999,20014,Fraser Basin
2000,22143,Fraser Basin
2001,20199,Fraser Basin
2002,23121,Fraser Basin
2003,30808,Fraser Basin
2004,28385,Fraser Basin
2005,36387,Fraser Basin
2006,29033,Fraser Basin
2007,30648,Fraser Basin
2008,21405,Fraser Basin
2009,28195,Fraser Basin
2010,34554,Fraser Basin
2011,53818,Fraser Basin
2012,38250,Fraser Basin
2013,45582,Fraser Basin
2014,43088,Fraser Basin
2015,43731,Fraser Basin
2016,40422,Fraser Basin
2017,42631,Fraser Basin
2018,29632,Fraser Basin
2019,5514,Fraser Basin
1970,9994,Fraser Plateau
1971,12708,Fraser Plateau
1972,15829,Fraser Plateau
1973,15610,Fraser Plateau
1974,13349,Fraser Plateau
1975,17634,Fraser Plateau
1976,22593,Fraser Plateau
1977,24321,Fraser Plateau
1978,25751,Fraser Plateau
1979,23647,Fraser Plateau
1980,27411,Fraser Plateau
1981,22478,Fraser Plateau
1982,22597,Fraser Plateau
1983,28197,Fraser Plateau
1984,28419,Fraser Plateau
1985,35505,Fraser Plateau
1986,45625,Fraser Plateau
1987,50047,Fraser Plateau
1988,46934,Fraser Plateau
1989,40707,Fraser Plateau
1990,41217,Fraser Plateau
1991,40611,Fraser Plateau
1992,43990,Fraser Plateau
1993,37863,Fraser Plateau
1994,36468,Fraser Plateau
1995,36150,Fraser Plateau
1996,45406,Fraser Plateau
1997,44139,Fraser Plateau
1998,42327,Fraser Plateau
1999,57996,Fraser Plateau
2000,54120,Fraser Plateau
2001,53722,Fraser Plateau
2002,59906,Fraser Plateau
2003,76559,Fraser Plateau
2004,75175,Fraser Plateau
2005,82395,Fraser Plateau
2006,70476,Fraser Plateau
2007,74852,Fraser Plateau
2008,67566,Fraser Plateau
2009,44925,Fraser Plateau
2010,57745,Fraser Plateau
2011,52122,Fraser Plateau
2012,54663,Fraser Plateau
2013,58670,Fraser Plateau
2014,42822,Fraser Plateau
2015,55958,Fraser Plateau
2016,55416,Fraser Plateau
2017,36524,Fraser Plateau
2018,30257,Fraser Plateau
2019,4463,Fraser Plateau
1970,119,Georgia-Puget Basin
1971,37,Georgia-Puget Basin
1972,84,Georgia-Puget Basin
1973,218,Georgia-Puget Basin
1974,33,Georgia-Puget Basin
1975,67,Georgia-Puget Basin
1976,137,Georgia-Puget Basin
1977,73,Georgia-Puget Basin
1978,63,Georgia-Puget Basin
1979,144,Georgia-Puget Basin
1980,587,Georgia-Puget Basin
1981,82,Georgia-Puget Basin
1982,53,Georgia-Puget Basin
1983,136,Georgia-Puget Basin
1984,129,Georgia-Puget Basin
1985,164,Georgia-Puget Basin
1986,155,Georgia-Puget Basin
1987,169,Georgia-Puget Basin
1988,198,Georgia-Puget Basin
1989,33,Georgia-Puget Basin
1990,124,Georgia-Puget Basin
1991,80,Georgia-Puget Basin
1992,88,Georgia-Puget Basin
1993,66,Georgia-Puget Basin
1994,64,Georgia-Puget Basin
1995,145,Georgia-Puget Basin
1996,60,Georgia-Puget Basin
1997,119,Georgia-Puget Basin
1998,47,Georgia-Puget Basin
1999,110,Georgia-Puget Basin
2000,108,Georgia-Puget Basin
2001,177,Georgia-Puget Basin
2002,112,Georgia-Puget Basin
2003,205,Georgia-Puget Basin
2004,110,Georgia-Puget Basin
2005,104,Georgia-Puget Basin
2006,35,Georgia-Puget Basin
2007,100,Georgia-Puget Basin
2008,157,Georgia-Puget Basin
2009,55,Georgia-Puget Basin
2010,81,Georgia-Puget Basin
2011,49,Georgia-Puget Basin
2012,130,Georgia-Puget Basin
2013,75,Georgia-Puget Basin
2014,86,Georgia-Puget Basin
2015,157,Georgia-Puget Basin
2016,92,Georgia-Puget Basin
2017,68,Georgia-Puget Basin
2018,13,Georgia-Puget Basin
2019,24,Georgia-Puget Basin
1970,1848,Gwaii Haanas
1971,1853,Gwaii Haanas
1972,2198,Gwaii Haanas
1973,1824,Gwaii Haanas
1974,2939,Gwaii Haanas
1975,1554,Gwaii Haanas
1976,1976,Gwaii Haanas
1977,3464,Gwaii Haanas
1978,3109,Gwaii Haanas
1979,2715,Gwaii Haanas
1980,2832,Gwaii Haanas
1981,2635,Gwaii Haanas
1982,3578,Gwaii Haanas
1983,3677,Gwaii Haanas
1984,4303,Gwaii Haanas
1985,3510,Gwaii Haanas
1986,5200,Gwaii Haanas
1987,4259,Gwaii Haanas
1988,4081,Gwaii Haanas
1989,3521,Gwaii Haanas
1990,3602,Gwaii Haanas
1991,3778,Gwaii Haanas
1992,3404,Gwaii Haanas
1993,2021,Gwaii Haanas
1994,2336,Gwaii Haanas
1995,2382,Gwaii Haanas
1996,2259,Gwaii Haanas
1997,2154,Gwaii Haanas
1998,1107,Gwaii Haanas
1999,2271,Gwaii Haanas
2000,2285,Gwaii Haanas
2001,1539,Gwaii Haanas
2002,2403,Gwaii Haanas
2003,1897,Gwaii Haanas
2004,1899,Gwaii Haanas
2005,2067,Gwaii Haanas
2006,1937,Gwaii Haanas
2007,1444,Gwaii Haanas
2008,1537,Gwaii Haanas
2009,591,Gwaii Haanas
2010,1210,Gwaii Haanas
2011,993,Gwaii Haanas
2012,1567,Gwaii Haanas
2013,1946,Gwaii Haanas
2014,1486,Gwaii Haanas
2015,1363,Gwaii Haanas
2016,1678,Gwaii Haanas
2017,626,Gwaii Haanas
2018,179,Gwaii Haanas
2019,0,Gwaii Haanas
1970,0,Hay-Slave Lowland
1971,145,Hay-Slave Lowland
1972,0,Hay-Slave Lowland
1973,687,Hay-Slave Lowland
1974,691,Hay-Slave Lowland
1975,1805,Hay-Slave Lowland
1976,826,Hay-Slave Lowland
1977,3696,Hay-Slave Lowland
1978,3040,Hay-Slave Lowland
1979,2216,Hay-Slave Lowland
1980,1318,Hay-Slave Lowland
1981,1203,Hay-Slave Lowland
1982,2092,Hay-Slave Lowland
1983,2288,Hay-Slave Lowland
1984,696,Hay-Slave Lowland
1985,2416,Hay-Slave Lowland
1986,1262,Hay-Slave Lowland
1987,1960,Hay-Slave Lowland
1988,1399,Hay-Slave Lowland
1989,1087,Hay-Slave Lowland
1990,1805,Hay-Slave Lowland
1991,1849,Hay-Slave Lowland
1992,2145,Hay-Slave Lowland
1993,1793,Hay-Slave Lowland
1994,1252,Hay-Slave Lowland
1995,2121,Hay-Slave Lowland
1996,1292,Hay-Slave Lowland
1997,541,Hay-Slave Lowland
1998,1906,Hay-Slave Lowland
1999,1576,Hay-Slave Lowland
2000,1142,Hay-Slave Lowland
2001,2900,Hay-Slave Lowland
2002,3186,Hay-Slave Lowland
2003,2291,Hay-Slave Lowland
2004,2755,Hay-Slave Lowland
2005,2869,Hay-Slave Lowland
2006,1618,Hay-Slave Lowland
2007,625,Hay-Slave Lowland
2008,384,Hay-Slave Lowland
2009,1,Hay-Slave Lowland
2010,0,Hay-Slave Lowland
2011,0,Hay-Slave Lowland
2012,0,Hay-Slave Lowland
2013,0,Hay-Slave Lowland
2014,418,Hay-Slave Lowland
2015,0,Hay-Slave Lowland
2016,0,Hay-Slave Lowland
2017,0,Hay-Slave Lowland
2018,0,Hay-Slave Lowland
2019,0,Hay-Slave Lowland
1970,59,Hecate Continental Shelf
1971,57,Hecate Continental Shelf
1972,4,Hecate Continental Shelf
1973,7,Hecate Continental Shelf
1974,187,Hecate Continental Shelf
1975,121,Hecate Continental Shelf
1976,33,Hecate Continental Shelf
1977,5,Hecate Continental Shelf
1978,25,Hecate Continental Shelf
1979,61,Hecate Continental Shelf
1980,395,Hecate Continental Shelf
1981,16,Hecate Continental Shelf
1982,230,Hecate Continental Shelf
1983,72,Hecate Continental Shelf
1984,155,Hecate Continental Shelf
1985,0,Hecate Continental Shelf
1986,7,Hecate Continental Shelf
1987,79,Hecate Continental Shelf
1988,57,Hecate Continental Shelf
1989,0,Hecate Continental Shelf
1990,17,Hecate Continental Shelf
1991,3,Hecate Continental Shelf
1992,104,Hecate Continental Shelf
1993,146,Hecate Continental Shelf
1994,14,Hecate Continental Shelf
1995,0,Hecate Continental Shelf
1996,0,Hecate Continental Shelf
1997,0,Hecate Continental Shelf
1998,42,Hecate Continental Shelf
1999,4,Hecate Continental Shelf
2000,4,Hecate Continental Shelf
2001,12,Hecate Continental Shelf
2002,71,Hecate Continental Shelf
2003,22,Hecate Continental Shelf
2004,12,Hecate Continental Shelf
2005,12,Hecate Continental Shelf
2006,1,Hecate Continental Shelf
2007,2,Hecate Continental Shelf
2008,19,Hecate Continental Shelf
2009,1,Hecate Continental Shelf
2010,19,Hecate Continental Shelf
2011,18,Hecate Continental Shelf
2012,28,Hecate Continental Shelf
2013,35,Hecate Continental Shelf
2014,20,Hecate Continental Shelf
2015,26,Hecate Continental Shelf
2016,21,Hecate Continental Shelf
2017,21,Hecate Continental Shelf
2018,10,Hecate Continental Shelf
2019,0,Hecate Continental Shelf
